{'ALG_BC_NB': 2375813, 'ALG_BC_WITH_SHAVING_NB': 119708, 'ALG_SHAVING_NB': 1699098, 'ALG_SHAVING_CHANGE_NB': 557007, 'ALG_SHAVING_NO_CHANGE_NB': 1142091, 'PROPAGATOR_ENTAILMENT_NB': 3733859, 'PROPAGATOR_FILTER_NB': 63857336, 'PROPAGATOR_FILTER_NO_CHANGE_NB': 21381370, 'PROPAGATOR_INCONSISTENCY_NB': 630380, 'SOLVER_BACKTRACK_NB': 1772470, 'SOLVER_CHOICE_NB': 46310, 'SOLVER_CHOICE_DEPTH': 31, 'SOLVER_SOLUTION_NB': 25}
         2171256980 function calls (2171249652 primitive calls) in 2682.249 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
227102944  701.949    0.000  713.508    0.000 propagators.py:158(add_propagators)
  2375813  555.687    0.000 2650.439    0.001 bound_consistency_algorithm.py:42(bound_consistency_algorithm)
 42480496  242.481    0.000  298.318    0.000 element_iv_propagator.py:43(compute_domains_element_iv)
  8226318  195.735    0.000  244.721    0.000 affine_eq_propagator.py:40(compute_domains_affine_eq)
  5281154  187.269    0.000  258.629    0.000 alldifferent_propagator.py:118(filter_lower)
  4994625  176.452    0.000  243.554    0.000 alldifferent_propagator.py:156(filter_upper)
  5533722  130.844    0.000  134.317    0.000 total_cost_propagator.py:44(compute_domains_total_cost)
273084670   78.171    0.000   78.171    0.000 alldifferent_propagator.py:42(path_set)
  5281154   66.899    0.000   66.899    0.000 alldifferent_propagator.py:82(update_bounds)
  2335646   58.888    0.000   59.614    0.000 no_sub_cycle_propagator.py:44(compute_domains_no_sub_cycle)
 65602769   41.912    0.000   45.211    0.000 propagators.py:143(pop_propagator)
237228901   39.163    0.000   39.163    0.000 {built-in method builtins.max}
237228758   37.563    0.000   37.563    0.000 {built-in method builtins.min}
168951831   31.021    0.000   31.021    0.000 alldifferent_propagator.py:69(path_max)
162682365   29.271    0.000   29.271    0.000 alldifferent_propagator.py:56(path_min)
390947717/390947298   21.321    0.000   21.321    0.000 {built-in method builtins.len}
195124628   19.126    0.000   19.126    0.000 {method 'append' of 'list' objects}
  5281154   14.801    0.000  605.781    0.000 alldifferent_propagator.py:195(compute_domains_alldifferent)
 10562308    7.068    0.000    7.068    0.000 {method 'argsort' of 'numpy.ndarray' objects}
 34275142    7.014    0.000    7.014    0.000 {built-in method numpy.zeros}
 10562308    4.002    0.000   15.662    0.000 fromnumeric.py:1085(argsort)
   119708    3.863    0.000 2679.547    0.022 shaving_consistency_algorithm.py:105(shaving_consistency_algorithm)
 10562308    3.463    0.000   11.659    0.000 fromnumeric.py:51(_wrapfunc)
  1699098    3.369    0.000 2242.272    0.001 shaving_consistency_algorithm.py:34(shave_bound)
  8226443    3.162    0.000    3.162    0.000 {built-in method numpy.array}
  1745433    2.918    0.000    7.715    0.000 solver.py:113(is_solved)
  1772495    2.631    0.000    2.631    0.000 choice_points.py:31(cp_put)
  1772471    2.060    0.000   10.448    0.000 choice_points.py:45(backtrack)
  1745436    1.974    0.000    1.974    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1745433    1.530    0.000    3.770    0.000 fromnumeric.py:89(_wrapreduction_any_all)
    46310    1.422    0.000    1.422    0.000 max_regret_var_heuristic.py:21(max_regret_var_heuristic)
  8226318    1.389    0.000    4.551    0.000 _function_base_impl.py:897(copy)
   891285    1.193    0.000    2.537    0.000 min_value_dom_heuristic.py:28(min_value_dom_heuristic)
  1745408    1.155    0.000    1.155    0.000 first_not_instantiated_var_heuristic.py:19(first_not_instantiated_var_heuristic)
 10572728    1.130    0.000    1.130    0.000 {built-in method builtins.getattr}
   827036    1.109    0.000    2.328    0.000 max_value_dom_heuristic.py:28(max_value_dom_heuristic)
  1745433    0.850    0.000    4.620    0.000 fromnumeric.py:2513(all)
 10562308    0.753    0.000    0.753    0.000 fromnumeric.py:1081(_argsort_dispatcher)
  8226318    0.637    0.000    0.637    0.000 _function_base_impl.py:893(_copy_dispatcher)
  1745648    0.265    0.000    0.265    0.000 {method 'items' of 'dict' objects}
  1745433    0.177    0.000    0.177    0.000 fromnumeric.py:2508(_all_dispatcher)
       26    0.144    0.006 2682.057  103.156 backtrack_solver.py:466(solve_one)
    46310    0.129    0.000    0.353    0.000 min_cost_dom_heuristic.py:22(min_cost_dom_heuristic)
    46310    0.100    0.000    0.224    0.000 value_dom_heuristic.py:32(value_dom_heuristic)
